Company | Open | High | Low | Close | Volume
BIRLANU LIMITED | 1526.2 | 1539.9 | 1500.1 | 1514.9 | 7953
ARVIND SMARTSPACES LTD | 601.1 | 617.4 | 586.1 | 603.6 | 54562
PLAZA WIRES LIMITED | 39.75 | 40.83 | 39.75 | 40.36 | 28676
SHIVAM AUTO.LTD | 26.9 | 27.26 | 26.5 | 26.69 | 20733
BANNARI AMMAN SUGARS LTD | 3627.3 | 3627.3 | 3601.0 | 3606.0 | 71
JINDAL WORLDWIDE LTD | 28.52 | 29.62 | 28.32 | 29.35 | 421453
HESTER BIOSCIENCES LTD | 1581.2 | 1600.0 | 1562.0 | 1585.9 | 7172
GMR POW AND URBAN INFRA L | 114.0 | 118.2 | 112.15 | 114.91 | 2278104
SUPREME ENGINEERING LTD | 1.22 | 1.3 | 1.22 | 1.26 | 123598
UDAYSHIVAKUMAR INFRA LTD | 23.95 | 24.0 | 22.3 | 23.16 | 59877
SIGNATUREGLOBAL INDIA LTD | 1139.9 | 1151.7 | 1127.2 | 1146.5 | 270189
GHCL TEXTILES LIMITED | 74.28 | 74.4 | 72.67 | 73.18 | 125767
HANDSON GBL MNGMNT LTD | 74.0 | 74.0 | 68.0 | 69.51 | 4515
MEGA FLEX PLASTICS LTD | 113.0 | 114.9 | 113.0 | 114.9 | 12000
RAJ TV NETWORK LTD | 44.06 | 44.06 | 42.0 | 42.46 | 4292
PUSHPA JEWELLERS LIMITED | 105.7 | 105.7 | 103.0 | 104.4 | 12000
ORIENT CEMENT LTD. | 160.7 | 162.18 | 159.99 | 161.7 | 173651
YUDIZ SOLUTIONS LIMITED | 28.0 | 28.0 | 28.0 | 28.0 | 800
MADRAS FERTILISERS LTD | 73.1 | 74.8 | 72.73 | 73.96 | 34223
RAM RATNA WIRES LIMITED | 610.9 | 614.25 | 609.95 | 612.6 | 7491
RPSG VENTURES LIMITED | 748.95 | 748.95 | 733.55 | 739.15 | 30007
JAYESH LOGISTICS LIMITED | 161.05 | 169.95 | 161.05 | 164.45 | 21000
GUJ IND POW CO. LTD | 144.62 | 149.5 | 144.61 | 148.44 | 182372
ASSO ALCOHOLS & BREW LTD | 936.1 | 949.9 | 929.85 | 945.15 | 17657
HOUSING DEV & INFRA LTD | 2.43 | 2.52 | 2.36 | 2.44 | 358107
PUNJAB NATIONAL BANK | 118.55 | 119.97 | 118.55 | 119.82 | 9725283
ORKLA INDIA LIMITED | 597.0 | 601.25 | 587.05 | 596.65 | 160835
SKF INDIA LTD | 1783.9 | 1785.0 | 1720.0 | 1739.6 | 134425
ARABIAN PETROLEUM LIMITED | 70.1 | 70.1 | 68.75 | 69.35 | 8000
EMMVEE PHOTOVOLTAIC PWR L | 173.78 | 186.1 | 171.61 | 185.16 | 4573753
PARAMATRIX TECHNOLOGIES L | 85.4 | 85.4 | 85.4 | 85.4 | 1200
RULKA ELECTRICALS LIMITED | 109.95 | 109.95 | 109.95 | 109.95 | 900
SEQUENT SCIENTIFIC LTD. | 208.0 | 212.59 | 207.85 | 210.32 | 611341
FUJIYAMA POWER SYSTEMS L | 199.0 | 199.7 | 193.34 | 195.24 | 336175
GNA AXLES LIMITED | 311.0 | 317.0 | 306.9 | 310.05 | 82537
MAWANA SUGARS LIMITED | 83.88 | 85.25 | 81.0 | 84.34 | 82051
VIKRAM SOLAR LIMITED | 234.0 | 235.0 | 230.95 | 232.75 | 702779
TCI FINANCE LTD | 16.58 | 17.73 | 15.55 | 17.73 | 1498778
CENTRAL DEPO SER (I) LTD | 1493.0 | 1501.9 | 1481.3 | 1499.6 | 817447
TAPI FRUIT PROCESSING LTD | 67.2 | 67.2 | 67.2 | 67.2 | 7500
STANDARD INDUSTRIES LTD. | 15.88 | 17.4 | 15.8 | 16.11 | 77218
IFB INDUSTRIES LTD | 1554.0 | 1574.4 | 1540.0 | 1570.7 | 13578
IFB AGRO INDUSTRIES LTD | 1230.0 | 1328.0 | 1220.1 | 1319.9 | 37499
GRETEX CORPORATE SERVICES | 352.8 | 363.0 | 352.0 | 355.25 | 1371
EXXARO TILES LIMITED | 8.07 | 8.07 | 7.91 | 8.02 | 91462
RAYMOND LTD | 427.7 | 431.4 | 422.65 | 424.85 | 249135
VASCON ENGINEERS LTD | 45.71 | 47.6 | 45.5 | 47.12 | 1171362
PRAKASH PIPES LIMITED | 238.3 | 242.0 | 235.71 | 241.19 | 63765
ADANI POWER LTD | 141.5 | 142.2 | 140.68 | 141.76 | 7869675
HEC INFRA PROJECTS LTD | 126.01 | 127.97 | 122.15 | 123.3 | 12801
ANYA POLYTECH & FERTI LTD | 20.9 | 20.9 | 20.0 | 20.3 | 190000
DALMIA BHARAT SUG IN LTD | 304.0 | 304.5 | 291.9 | 296.5 | 111945
SOTAC PHARMACEUTICALS LTD | 123.4 | 123.4 | 123.4 | 123.4 | 1200
ARIHANT ACADEMY LIMITED | 475.0 | 475.0 | 475.0 | 475.0 | 400
GODREJ CONSUMER PRODUCTS | 1186.8 | 1195.0 | 1174.1 | 1186.2 | 641297
DR. LAL PATH LABS LTD. | 1381.6 | 1397.9 | 1348.0 | 1391.6 | 487016
MOREPEN LAB. LTD | 39.04 | 41.45 | 38.91 | 40.85 | 4522212
PARADEEP PHOSPHATES LTD | 156.17 | 156.17 | 152.05 | 155.32 | 4102006
SHANTI GOLD INTERNATION L | 185.65 | 194.89 | 185.65 | 193.13 | 187828
TUNWAL E-MOTORS LIMITED | 34.4 | 36.2 | 34.05 | 35.55 | 146000
LAXMI COTSPIN LIMITED | 18.81 | 19.3 | 18.81 | 18.94 | 6373
DAR CREDIT & CAPITAL LTD | 46.35 | 46.35 | 45.0 | 45.2 | 12000
POWER FIN CORP LTD. | 335.95 | 339.25 | 335.05 | 338.7 | 8110376
SONATA SOFTWARE LTD | 342.9 | 345.9 | 341.1 | 344.6 | 498925
ARKADE DEVELOPERS LIMITED | 135.0 | 139.47 | 134.01 | 137.93 | 668584
VAXTEX COTFAB LIMITED | 1.72 | 1.76 | 1.72 | 1.72 | 1209220
INFOSYS LIMITED | 1650.0 | 1654.9 | 1629.8 | 1638.7 | 13149023
IRCON INTERNATIONAL LTD | 150.01 | 153.4 | 149.94 | 152.95 | 1458573
S H KELKAR AND CO. LTD. | 164.1 | 167.9 | 163.35 | 166.66 | 164470
NAVIN FLUORINE INT. LTD | 5824.5 | 5967.5 | 5780.0 | 5845.0 | 148636
