Company | Open | High | Low | Close | Volume
PIX TRANSMISSIONS LIMITED | 1452.4 | 1461.0 | 1447.6 | 1451.8 | 2810
WANBURY LIMITED | 225.2 | 232.2 | 225.0 | 231.1 | 19968
CRISIL LTD | 4300.0 | 4394.6 | 4300.0 | 4378.2 | 87730
REGAAL RESOURCES LIMITED | 72.74 | 73.45 | 72.5 | 72.74 | 154392
JAGRAN PRAKASHAN LIMITED | 69.77 | 69.85 | 69.02 | 69.2 | 94374
SILVER TOUCH TECHNO LTD | 844.7 | 861.9 | 832.55 | 849.6 | 173540
RAMA PHOSPHATES LIMITED | 154.93 | 155.75 | 153.0 | 154.13 | 52894
NAGA DHUNSERI GROUP LTD | 2843.0 | 2890.0 | 2830.0 | 2841.5 | 191
ARO GRANITE IND. LTD. | 31.01 | 31.42 | 30.2 | 30.29 | 6684
GLOBAL SURFACES LIMITED | 106.67 | 110.5 | 106.66 | 108.47 | 23603
KSOLVES INDIA LIMITED | 283.2 | 287.0 | 280.0 | 285.65 | 22494
HMA AGRO INDUSTRIES LTD | 28.93 | 29.49 | 28.9 | 29.1 | 109990
KITEX GARMENTS LTD | 187.01 | 189.39 | 186.3 | 188.72 | 359715
NIRMAN AGRI GENTICS LTD | 68.0 | 68.0 | 65.5 | 66.45 | 36000
JINDAL PHOTO LIMITED | 1519.3 | 1529.9 | 1500.0 | 1503.8 | 5412
MRF LTD | 153000.0 | 155385.0 | 152260.0 | 153580.0 | 8953
BLUE PEBBLE LIMITED | 111.55 | 115.0 | 111.55 | 112.9 | 7200
ANZEN IND ENE YLD PLU TRU | 117.25 | 117.8 | 117.25 | 117.8 | 50000
NAHAR CAP & FIN. | 253.9 | 264.7 | 253.6 | 262.8 | 1771
OMAX AUTOS LTD | 100.32 | 101.88 | 99.1 | 99.48 | 36079
SHRI HARE-KRI SPO IRON L | 54.5 | 54.5 | 52.5 | 52.5 | 4000
JSW HOLDINGS LIMITED | 20050.0 | 20755.0 | 19575.0 | 19970.0 | 11355
WIPRO LTD | 267.0 | 267.0 | 263.3 | 264.45 | 12750745
N R VANDANA TEX IND LTD | 62.0 | 62.5 | 60.6 | 62.0 | 54000
SANSTAR LIMITED | 89.82 | 92.3 | 89.5 | 91.0 | 143109
NGL FINE CHEM LIMITED | 1308.0 | 1313.9 | 1271.0 | 1278.8 | 2049
NORTHERN ARC CAPITAL LTD | 245.4 | 255.8 | 245.4 | 253.45 | 222150
TAMILNADU NEWSPRT & PAPER | 138.7 | 144.0 | 138.41 | 143.58 | 74503
PRAMARA PROMOTIONS LTD | 350.0 | 351.9 | 345.0 | 347.35 | 45500
QUALITY POWER ELEC EQUP L | 656.4 | 698.7 | 653.2 | 693.95 | 414762
REPCO HOME FINANCE LTD | 381.7 | 393.0 | 381.7 | 390.75 | 41462
DANISH POWER LIMITED | 662.45 | 662.45 | 645.05 | 650.85 | 6300
SUPREME FACILITY MGMT LTD | 29.6 | 30.25 | 29.5 | 30.2 | 9600
L&T FINANCE LIMITED | 300.2 | 303.4 | 296.7 | 300.3 | 5032118
SIGACHI INDUSTRIES LTD | 34.09 | 34.37 | 33.7 | 34.18 | 1354507
AEGIS VOPAK TERMINALS LTD | 257.65 | 265.9 | 256.5 | 261.15 | 623051
CHAMUNDA ELECTRICAL LTD | 51.1 | 51.1 | 50.05 | 50.95 | 18000
URBAN ENVIRO WASTE MGMT L | 147.9 | 147.9 | 142.0 | 143.8 | 36000
KSHITIJ POLYLINE LIMITED | 2.41 | 2.58 | 2.4 | 2.5 | 217163
INTEGRA ESSENTIA LIMITED | 1.54 | 1.58 | 1.54 | 1.54 | 946884
AKSHARCHEM INDIA LIMITED | 251.05 | 258.7 | 249.0 | 249.45 | 2452
NOVA AGRITECH LIMITED | 38.15 | 38.99 | 38.15 | 38.95 | 57369
SAMPANN UTPADAN INDIA LTD | 30.5 | 32.4 | 30.5 | 32.22 | 30393
KORE DIGITAL LIMITED | 175.9 | 184.45 | 175.9 | 182.4 | 27150
SOLARWORLD ENERGY SOL LTD | 269.0 | 272.6 | 266.8 | 269.55 | 49655
MANGALAM ALLOYS LIMITED | 48.6 | 50.0 | 48.55 | 48.8 | 11200
RATEGAIN TRAVEL TECHN LTD | 660.4 | 667.9 | 652.9 | 655.95 | 188651
MIDWEST LIMITED | 1540.5 | 1541.8 | 1487.0 | 1503.0 | 97875
MRS BECTORS FOOD SPE LTD | NA | NA | NA | NA | NA
SHIGAN QUANTUM TECH LTD | 47.5 | 47.5 | 42.0 | 43.6 | 46500
ONWARD TECHNOLOGIES LTD | 262.5 | 272.45 | 262.5 | 270.25 | 20283
WAAREE ENERGIES LIMITED | 2926.9 | 3076.0 | 2912.1 | 3025.6 | 1741775
PENTAGON RUBBER LIMITED | 73.25 | 73.25 | 73.25 | 73.25 | 1000
ELECTROTHERM (I) LTD. | 785.6 | 796.95 | 780.25 | 786.75 | 4141
OBSC PERFECTION LIMITED | 307.75 | 308.95 | 302.75 | 305.75 | 6800
INDO US BIOTECH LTD | 119.9 | 123.99 | 119.33 | 123.34 | 8492
SHEEL BIOTECH LIMITED | 71.05 | 71.4 | 69.0 | 70.2 | 10000
UNICOMMERCE ESOLUTIONS L | 116.1 | 117.29 | 115.25 | 116.35 | 110232
LANCOR HOLDINGS LIMITED | 24.3 | 24.75 | 23.81 | 24.06 | 20121
GODREJ PROPERTIES LTD | 2001.3 | 2049.6 | 1998.8 | 2044.8 | 628062
MANOMAY TEX INDIA LTD | 208.9 | 211.0 | 201.7 | 205.1 | 3914
SAREGAMA INDIA LIMITED | 352.2 | 352.2 | 342.4 | 348.2 | 452234
INTEGRITY INFRABUILD DE L | 138.0 | 138.0 | 138.0 | 138.0 | 1200
MAXVOLT ENERGY INDUS L | 461.0 | 476.0 | 455.0 | 470.55 | 13600
PRATHAM EPC PROJECTS LTD | 151.05 | 152.0 | 148.15 | 148.5 | 9200
GLOBAL VEC HELICORP LTD | 194.4 | 199.46 | 191.14 | 193.75 | 14720
RACHANA INFRA LTD | 36.4 | 36.5 | 35.0 | 36.45 | 14100
FACT LTD | 851.6 | 870.0 | 844.0 | 863.05 | 132379
SELLOWRAP INDUSTRIES LTD | 81.5 | 82.5 | 81.5 | 82.5 | 3200
SHILCHAR TECHNOLOGIES LTD | 3870.1 | 3979.0 | 3870.1 | 3939.1 | 4170
AUTOLINE INDUSTRIES LTD | 77.5 | 79.1 | 76.99 | 77.61 | 99964
HARRISON MALAYALAM LTD | 159.5 | 161.72 | 159.0 | 159.88 | 6574
GAYATRI RUBB AND CHEM LTD | 366.6 | 380.0 | 361.0 | 380.0 | 1750
MASK INVESTMENTS LIMITED | 149.07 | 155.0 | 149.07 | 154.85 | 235
KRITIKA WIRES LIMITED | 7.15 | 7.27 | 6.78 | 7.24 | 105816
ABHISHEK INTEGRATIONS LTD | 40.0 | 40.0 | 40.0 | 40.0 | 1500
HILTON METAL FORGING LTD | 41.39 | 44.52 | 41.39 | 42.75 | 160567
FOCE INDIA LIMITED | 1790.0 | 1790.0 | 1789.95 | 1790.0 | 5300
ANNAPURNA SWADISHT LTD | 216.2 | 218.7 | 213.0 | 216.55 | 29750
VEDANTA LIMITED | 582.0 | 583.4 | 571.5 | 581.6 | 16753034
INDIAN HUME PIPE CO. LTD. | 404.8 | 404.8 | 398.0 | 400.0 | 20117
VIBHOR STEEL TUBES LTD | 133.89 | 135.72 | 131.81 | 133.74 | 8857
PREMIER POLYFILM LTD | 39.81 | 41.43 | 39.81 | 40.33 | 70373
KALYANI STEELS LIMITED | 731.1 | 738.0 | 725.5 | 735.8 | 13469
KAY CEE ENERGY & INFRA L | 152.2 | 153.35 | 144.05 | 152.15 | 23000
GENSOL ENGINEERING LTD | 27.49 | 27.49 | 26.8 | 27.09 | 54831
THE STATE TRADING CORPN | 116.15 | 119.5 | 116.0 | 117.5 | 29255
TVS HOLDINGS LIMITED | 14364.0 | 14897.0 | 14167.0 | 14579.0 | 9698
MAHARASHTRA SCOOTERS LTD | 14048.0 | 14099.0 | 13802.0 | 14018.0 | 3449
MAGADH SUGAR & ENERGY LTD | 509.05 | 509.45 | 496.05 | 499.0 | 1460
ENTERO HEALTHCARE SOLU L | 970.0 | 981.0 | 960.0 | 964.8 | 82189
MAX HEALTHCARE INS LTD | 1066.5 | 1081.0 | 1061.1 | 1075.8 | 3285719
DEN NETWORKS LTD | 31.0 | 31.41 | 30.75 | 31.25 | 193111
FINEOTEX CHEMICAL LIMITED | 24.3 | 24.34 | 23.91 | 24.01 | 1200149
B&B TRIPLEWALL CONT LTD | 190.8 | 195.01 | 190.8 | 192.06 | 874
HARDWYN INDIA LIMITED | 17.3 | 17.97 | 17.12 | 17.89 | 1802179
MOLD-TEK PACKAGING LTD | 566.15 | 585.25 | 561.85 | 578.45 | 30584
COFFEE DAY ENTERPRISE LTD | 33.84 | 35.99 | 33.71 | 35.61 | 565632
PRIME FOCUS LIMITED | 217.47 | 224.68 | 213.75 | 219.74 | 9122085
NIDAN LABS AND HEALTH LTD | 19.8 | 19.8 | 19.0 | 19.0 | 3000
NIPPON L I A M LTD | 895.0 | 901.6 | 876.0 | 888.45 | 1047323
ENERGY DEVE. CO.LTD | 19.86 | 20.0 | 19.5 | 19.72 | 34028
KAPSTON SERVICES LIMITED | 300.95 | 300.95 | 294.35 | 296.35 | 8360
LMW LIMITED | 15165.0 | 15165.0 | 14845.0 | 14965.0 | 2253
TRACXN TECHNOLOGIES LTD | 39.5 | 41.0 | 39.01 | 40.29 | 273239
GRANULES INDIA LIMITED | 585.0 | 597.5 | 579.5 | 583.4 | 2093530
GLOSTER LIMITED | 648.15 | 655.0 | 644.0 | 647.8 | 1167
AIA ENGINEERING LIMITED | 3773.8 | 3854.8 | 3762.1 | 3803.9 | 29688
MEDISTEP HEALTHCARE LTD | 25.05 | 25.05 | 24.05 | 24.05 | 9000
CAPACITE INFRAPROJECT LTD | 256.05 | 258.25 | 254.75 | 256.8 | 87811
CINEVISTA LIMITED | 14.83 | 15.27 | 14.71 | 14.79 | 33041
KELLTON TECH SOL LTD | 17.86 | 19.5 | 17.72 | 18.44 | 1553936
MUFIN GREEN FINANCE LTD | 112.6 | 116.8 | 110.65 | 115.71 | 834989
GRILL SPLENDOUR SER LTD | 124.5 | 124.5 | 124.5 | 124.5 | 1200
EXCEL INDUSTRIES LTD | 933.85 | 944.95 | 925.0 | 941.65 | 9580
HEUBACH COLORANTS IND LTD | 470.9 | 470.9 | 459.0 | 462.2 | 3522
ASHOKA BUILDCON LTD | 176.0 | 176.01 | 171.17 | 172.65 | 583648
KRISHNA INST OF MED SCI L | 634.0 | 645.95 | 632.75 | 639.3 | 341242
IND SWIFT LABORATORIES LT | 95.45 | 95.45 | 93.0 | 93.41 | 48671
STAR PAPER MILLS LTD | 160.3 | 168.0 | 160.3 | 163.31 | 4493
INTEGRATED PERSO SER LTD | 274.0 | 274.0 | 274.0 | 274.0 | 500
LUMAX INDUSTRIES LTD | 5510.0 | 5674.5 | 5455.5 | 5605.0 | 7930
SANSERA ENGINEERING LTD | 1701.2 | 1732.5 | 1684.1 | 1724.2 | 150763
HP TELECOM INDIA LIMITED | 278.0 | 278.0 | 278.0 | 278.0 | 1200
CHOLAMANDALAM IN & FIN CO | 1684.8 | 1694.3 | 1614.2 | 1648.1 | 2356435
NEOGEN CHEMICALS LIMITED | 1078.9 | 1088.6 | 1060.2 | 1079.5 | 125414
CREATIVE GRAPHICS S IND L | 198.0 | 198.0 | 193.5 | 197.25 | 7200
PROLIFE INDUSTRIES LTD | 78.5 | 78.5 | 78.5 | 78.5 | 500
ARVIND LIMITED | 311.65 | 322.0 | 310.65 | 319.7 | 398353
DHRUV CONSULTANCY SER LTD | 50.51 | 52.0 | 49.6 | 50.18 | 34484
PRITISH NANDY COMMUNICATI | 29.7 | 30.0 | 27.53 | 28.12 | 38469
HMT LTD - | 47.69 | 47.69 | 46.25 | 47.63 | 3827
SECUREKLOUD TECH LIMITED | 22.5 | 23.92 | 22.5 | 23.92 | 9747
U. Y. FINCORP LIMITED | 13.9 | 14.15 | 13.3 | 13.99 | 58736
DHAMPUR BIO ORGANICS LTD | 77.65 | 78.44 | 74.19 | 75.65 | 91555
ADITYA VISION LIMITED | 481.65 | 491.7 | 479.15 | 486.3 | 99651
VISHWAS AGRI SEEDS LTD | 38.5 | 42.5 | 38.5 | 42.5 | 27200
DCB BANK LIMITED | 169.96 | 170.71 | 167.15 | 168.52 | 579640
SHEMAROO ENTER. LTD. | 105.0 | 106.58 | 104.37 | 106.16 | 4862
DEEM ROLL TECH LIMITED | 45.5 | 45.5 | 45.5 | 45.5 | 1000
SHIVA MILLS LIMITED | 60.18 | 61.0 | 58.68 | 59.84 | 2610
TEJAS NETWORKS LIMITED | 449.0 | 451.0 | 440.0 | 449.2 | 1025154
RELIANCE INFRASTRUCTU LTD | NA | NA | NA | NA | NA
SHANTHI GEARS LTD | 476.45 | 476.45 | 470.5 | 471.5 | 9550
SHEETAL UNIVERSAL LIMITED | 147.8 | 147.8 | 146.9 | 146.9 | 8000
SRI ADHIKARI BRO TELE N L | 1699.0 | 1699.0 | 1620.0 | 1648.8 | 15238
GNG ELECTRONICS LIMITED | 289.0 | 302.75 | 289.0 | 301.2 | 61306
DHUNSERI INVESTMENTS LTD | 1167.5 | 1274.1 | 1164.0 | 1251.9 | 5134
PUNJAB & SIND BANK | 26.88 | 26.98 | 26.12 | 26.25 | 3209219
ANAND RATHI SH N STK BR L | 585.0 | 597.9 | 568.0 | 590.1 | 1052891
KOTHARI PRODUCTS LTD | 72.36 | 75.49 | 72.01 | 72.76 | 3000
GLOBAL HEALTH LIMITED | 1150.3 | 1175.0 | 1139.7 | 1169.6 | 136553
VISHNU PRAKASH R PUNGLI L | 67.47 | 70.95 | 62.15 | 63.13 | 8343531
ARCHIES LTD | 19.48 | 19.6 | 18.65 | 18.81 | 26288
DODLA DAIRY LIMITED | 1213.0 | 1254.7 | 1204.6 | 1225.5 | 48906
NITIN SPINNERS LIMITED | 318.35 | 323.0 | 317.0 | 321.85 | 30477
SCHNEIDER ELECTRIC INFRA | 701.9 | 735.75 | 701.55 | 726.6 | 255872
LEELA PALACES HOTEL LTD | 407.95 | 418.5 | 407.95 | 411.8 | 317102
P&G HYGIENE & HEALTH CARE | 12945.0 | 13011.0 | 12721.0 | 12756.0 | 9525
INDIQUBE SPACES LIMITED | 203.01 | 208.0 | 201.04 | 204.94 | 25284
ADVENT HOTELS INTERNATI L | 211.34 | 232.6 | 211.34 | 228.67 | 660596
UNIVERSAL CABLES LTD | 831.9 | 871.05 | 827.0 | 856.15 | 128562
SIL INVESTMENTS LIMITED | 498.0 | 518.6 | 498.0 | 517.1 | 1519
TD POWER SYSTEMS LTD. | 702.95 | 721.8 | 694.85 | 716.1 | 776588
PRAJ INDUSTRIES LTD | 340.8 | 344.8 | 335.85 | 343.2 | 1448696
TUBE INVEST OF INDIA LTD | 2571.0 | 2648.0 | 2571.0 | 2634.9 | 416386
EMKAY TOOLS LIMITED | 870.15 | 872.0 | 870.15 | 872.0 | 900
COASTAL CORPORATION LTD | 45.54 | 46.9 | 45.1 | 45.85 | 40289
UNITED SPIRITS LIMITED | 1391.9 | 1411.6 | 1387.4 | 1406.7 | 397838
VIP CLOTHING LIMITED | 32.5 | 33.05 | 32.5 | 32.71 | 24967
CRIZAC LIMITED | 286.0 | 289.9 | 281.9 | 282.55 | 105966
PRICOL LIMITED | 674.0 | 677.9 | 654.65 | 659.8 | 493566
FABTECH TECHNOLOGIES LTD | 221.38 | 224.73 | 220.35 | 221.83 | 496817
NAVKAR CORPORATION LTD. | 94.35 | 102.5 | 94.07 | 97.73 | 1275368
APEX ECOTECH LIMITED | 131.75 | 131.75 | 130.0 | 130.55 | 4800
SUVEN LIFE SCIENCES LTD | 167.45 | 175.4 | 167.45 | 171.0 | 168475
MODERN THREADS INDIA LTD | 43.15 | 46.89 | 43.13 | 43.37 | 348
OM FREIGHT FORWARDERS LTD | 89.02 | 94.99 | 89.02 | 94.02 | 400328
CYBER MEDIA RES & SER LTD | 67.7 | 68.0 | 67.7 | 67.85 | 4800
GMM PFAUDLER LIMITED | 1052.4 | 1074.0 | 1048.5 | 1065.9 | 35301
JINDAL STAINLESS LIMITED | 799.0 | 804.9 | 785.6 | 802.2 | 472683
ADANI PORT & SEZ LTD | 1495.0 | 1503.7 | 1490.7 | 1496.4 | 1276175
ABANS FINANCIAL SRVCS LTD | 204.89 | 205.98 | 201.2 | 202.28 | 7230
VOLTAS LTD | 1397.0 | 1415.0 | 1364.5 | 1375.5 | 1059210
PERFECT INFRAENGINEER LTD | 3.85 | 3.85 | 3.8 | 3.8 | 9000
DIENSTEN TECH LIMITED | 148.0 | 148.0 | 146.0 | 146.0 | 3600
BOMBAY METRICS S C LTD | 42.15 | 43.85 | 42.1 | 42.25 | 17600
KEYSTONE REALTORS LIMITED | 521.75 | 531.15 | 520.3 | 527.5 | 19872
AVADH SUG & ENERGY LTD | 394.75 | 395.4 | 367.0 | 369.5 | 95453
GOODLUCK INDIA LIMITED | 1020.0 | 1057.5 | 1019.0 | 1049.2 | 45033
NETWEB TECH INDIA LTD | 3134.6 | 3271.9 | 3134.6 | 3250.9 | 578563
HBL ENGINEERING LTD | 821.45 | 848.6 | 810.85 | 845.45 | 4553936
ESAF SMALL FINANCE BANK L | 25.47 | 26.0 | 25.19 | 25.71 | 192084
AVG LOGISTICS LIMITED | 191.21 | 198.24 | 190.0 | 194.72 | 15844
GRASIM INDUSTRIES LTD | 2800.0 | 2831.1 | 2790.1 | 2812.5 | 546550
LUPIN LIMITED | 2127.0 | 2146.9 | 2111.1 | 2125.8 | 595995
AVALON TECHNOLOGIES LTD | 857.25 | 880.0 | 856.95 | 875.3 | 106373
DELTA CORP LIMITED | 69.0 | 70.0 | 68.89 | 69.29 | 633040
INNOVATIVE TYRE & TUBE LT | 99.5 | 99.5 | 99.5 | 99.5 | 210
POWER INSTRUMENT (G) LTD | 128.98 | 128.98 | 121.0 | 122.57 | 102494
UNIVASTU INDIA LIMITED | 66.99 | 69.0 | 66.0 | 68.05 | 17624
NMDC LTD. | 76.51 | 76.75 | 75.72 | 76.3 | 9994984
CHAMBAL FERTILIZERS LTD | 440.2 | 448.7 | 435.75 | 445.35 | 792544
B.L.KASHYAP & SON LTD | 50.5 | 50.74 | 49.6 | 50.53 | 225995
MASON INFRATECH LIMITED | 193.0 | 193.9 | 191.55 | 193.25 | 5500
C2C ADVANCED SYSTEMS LTD | 432.65 | 472.4 | 431.0 | 457.9 | 282750
ZENITH DRUGS LIMITED | 51.0 | 52.9 | 49.9 | 50.8 | 24000
SOM DIST & BREW LTD | 104.4 | 106.79 | 104.35 | 106.32 | 331521
D.B.CORP LTD | 259.8 | 263.5 | 256.65 | 258.8 | 44988
KABRA EXTRUSION TECHNIK L | 220.1 | 221.0 | 217.0 | 219.86 | 10680
ALIVUS LIFE SCIENCES LTD | 890.9 | 910.25 | 890.9 | 900.65 | 28703
IL&FS TRANS NET LTD | 2.88 | 2.9 | 2.72 | 2.85 | 39326
BIRLASOFT LIMITED | 435.0 | 438.0 | 429.5 | 433.45 | 766933
TARA CHAND INFRA SOLN LTD | 73.55 | 76.6 | 72.54 | 75.99 | 48832
63 MOONS TECHNOLOGIES LTD | 734.1 | 755.0 | 733.2 | 749.6 | 78200
INDIGO PAINTS LIMITED | 1174.0 | 1192.8 | 1174.0 | 1188.6 | 14010
SUNTECK REALTY LIMITED | 389.2 | 395.6 | 386.4 | 391.35 | 79170
PVP VENTURES LIMITED | 33.35 | 34.19 | 33.35 | 33.81 | 116767
BELRISE INDUSTRIES LTD | 158.0 | 164.99 | 158.0 | 162.3 | 12552449
MOKSH ORNAMENTS LIMITED | 16.25 | 16.65 | 15.05 | 15.32 | 487335
VOLTAMP TRANSFORMERS LTD | 7860.0 | 8160.0 | 7860.0 | 8071.5 | 40829
AKANKSHA POWER N INFRA L | 70.2 | 70.2 | 70.0 | 70.0 | 5000
TECHD CYBERSECURITY LTD | 619.5 | 619.5 | 619.5 | 619.5 | 9600
HFCL LIMITED | 64.92 | 65.25 | 63.45 | 64.12 | 9656526
VISAGAR POLYTEX LTD | 0.71 | 0.71 | 0.67 | 0.69 | 361505
TOLINS TYRES LIMITED | 133.71 | 133.95 | 131.1 | 132.1 | 108300
AARON INDUSTRIES LIMITED | 177.16 | 181.5 | 176.0 | 177.21 | 10812
KALYANI FORGE LIMITED | 643.35 | 643.35 | 625.4 | 640.2 | 632
MONARCH NETWORTH CAP LTD | 300.1 | 306.0 | 300.0 | 305.1 | 60956
SHYAM TELECOM LIMITED | 12.74 | 12.74 | 12.21 | 12.65 | 4966
GURUNANAK AGRICULTUR IN L | 35.6 | 36.15 | 35.2 | 36.15 | 22400
GPT INFRAPROJECTS LTD | 116.0 | 121.42 | 106.0 | 107.95 | 6634996
JINDAL POLY FILMS LIMITED | 483.1 | 489.0 | 473.95 | 478.5 | 32374
METRO BRANDS LIMITED | 1128.8 | 1157.2 | 1111.6 | 1147.2 | 46048
AMRUTAJAN HEALTH LTD | 686.5 | 705.45 | 678.7 | 683.95 | 16230
TRANSINDIA REAL ESTATE L | 31.31 | 31.62 | 29.94 | 30.11 | 121470
RAJGOR CASTOR DERIVATI L | 20.5 | 20.5 | 20.0 | 20.0 | 9000
NACL INDUSTRIES LIMITED | 153.66 | 157.95 | 150.22 | 153.81 | 515743
DEEPAK FERTILIZERS & PETR | 1193.0 | 1211.0 | 1179.6 | 1204.8 | 174239
MUTHOOT FINANCE LIMITED | 3749.5 | 3790.0 | 3722.0 | 3781.2 | 429282
TARMAT LIMITED | 51.61 | 52.46 | 51.61 | 51.99 | 10404
RITCO LOGISTICS LIMITED | 281.35 | 281.35 | 273.4 | 274.65 | 28117
FUTURE ENTERPRISES LTD | 0.47 | 0.48 | 0.47 | 0.47 | 113212
MAN COAT METAL & IND LTD | 130.85 | 142.67 | 130.85 | 132.8 | 374171
VODAFONE IDEA LIMITED | 11.42 | 12.0 | 11.25 | 11.96 | 1241113159
RHI MAGNESITA INDIA LTD | 437.45 | 459.0 | 437.05 | 456.75 | 382092
TERA SOFTWARE LIMITED | 463.0 | 470.0 | 460.0 | 461.15 | 10631
SUDARSHAN CHEMICAL INDS L | 956.0 | 975.0 | 951.2 | 970.4 | 67727
JINDAL SAW LIMITED | 163.53 | 163.95 | 160.29 | 160.92 | 1344787
THE PHOENIX MILLS LTD | 1798.0 | 1836.7 | 1790.6 | 1831.3 | 462926
KKV AGRO POWERS LTD. | 634.0 | 634.0 | 634.0 | 634.0 | 171
TORRENT POWER LTD | 1254.8 | 1282.0 | 1243.7 | 1279.1 | 502531
BAJAJ ELECT.LTD | 481.0 | 481.25 | 471.05 | 479.7 | 64421
PRIME SECURITIES LIMITED | 286.1 | 291.5 | 283.0 | 287.15 | 56921
INDO BORAX & CHEMICAL LTD | 267.15 | 272.95 | 264.99 | 270.97 | 36741
CIE AUTOMOTIVE INDIA LTD | 393.2 | 399.8 | 390.2 | 398.0 | 66664
PETRO CARBON AND CHEMI L | 202.0 | 202.45 | 199.95 | 202.4 | 22800
LA OPALA RG LIMITED | 203.9 | 205.1 | 201.0 | 203.16 | 43181
INOX WIND LIMITED | 124.8 | 127.2 | 123.0 | 126.87 | 4405594
MADHAV COPPER LIMITED | 49.85 | 51.44 | 48.5 | 48.93 | 119815
SHEETAL COOL PRODUCTS LTD | 298.6 | 310.0 | 290.41 | 308.04 | 58199
JSW INFRASTRUCTURE LTD | 274.55 | 277.8 | 272.15 | 277.1 | 1169186
ABBOTT INDIA LIMITED | 27995.0 | 28200.0 | 27870.0 | 28035.0 | 3745
AHLADA ENGINEERS LIMITED | 48.67 | 49.69 | 47.8 | 49.03 | 7018
VMART RETAIL LTD | 753.0 | 757.15 | 731.25 | 737.9 | 74321
SIGNET INDUSTRIES LIMITED | 54.96 | 57.0 | 54.0 | 55.25 | 12342
STEEL CITY SECURITIES LTD | 90.81 | 92.75 | 90.0 | 90.46 | 15599
NCC LIMITED | 153.5 | 156.38 | 152.2 | 155.9 | 2813537
AEROFLEX INDUSTRIES LTD | 183.0 | 205.0 | 180.95 | 193.69 | 28076340
CASTROL INDIA LIMITED | 183.52 | 183.6 | 181.7 | 182.82 | 888709
ZAGGLE PREPA OCEAN SER L | 348.8 | 356.5 | 345.0 | 354.45 | 809245
GALA PRECISION ENG LTD | 750.35 | 810.0 | 748.05 | 794.2 | 87167
OIL AND NATURAL GAS CORP. | 232.0 | 233.5 | 231.5 | 232.89 | 5070902
VARDHMAN TEXTILES LIMITED | 453.95 | 455.2 | 445.8 | 453.0 | 129779
MEGASTAR FOODS LIMITED | 240.1 | 240.1 | 235.0 | 235.0 | 2144
BOMBAY SUPER HYBRID SEEDS | 99.6 | 101.97 | 99.37 | 100.57 | 4245
ROSSARI BIOTECH LIMITED | 572.2 | 575.15 | 567.9 | 569.75 | 55435
SPANDANA RS.5 PPD UP | 134.0 | 134.0 | 130.8 | 133.15 | 3078
POLYSIL IRRIGATION SYST L | 282.15 | 287.9 | 282.15 | 287.4 | 61000
MOTHERSON SUMI WRNG IND L | 44.81 | 49.6 | 44.81 | 47.65 | 49911481
OSIA HYPER RETAIL LIMITED | 16.82 | 16.82 | 16.14 | 16.33 | 421547
INDIAN RAIL TOUR CORP LTD | 667.0 | 675.75 | 666.0 | 674.0 | 678900
CHEMCON SPECIAL CHEM LTD | 198.0 | 206.0 | 197.34 | 202.17 | 27793
ERIS LIFESCIENCES LIMITED | 1554.8 | 1582.4 | 1552.5 | 1571.6 | 36657
IDEAL TECHNOPLAST IND LTD | 170.25 | 199.5 | 170.1 | 185.0 | 4000
INDIAN CARD CLOTHING CO. | 239.35 | 242.75 | 237.25 | 239.95 | 493
INNOVANA THINKLABS LTD | 418.05 | 436.9 | 407.45 | 426.05 | 7224
DATAMATICS GLOBAL SER LTD | 816.85 | 830.0 | 816.05 | 826.05 | 43734
NAVA LIMITED | 568.0 | 583.0 | 565.55 | 577.65 | 427124
AFFLE 3I LIMITED | 1674.1 | 1758.5 | 1669.7 | 1719.0 | 742479
ADANI ENERGY SOLUTION LTD | 977.4 | 990.95 | 971.65 | 988.25 | 2708958
BLUESTONE JEWEL LFSTL LTD | 505.05 | 518.15 | 502.65 | 510.3 | 120246
LIBERTY SHOES LTD | 265.1 | 283.7 | 265.1 | 274.65 | 35191
NUPUR RECYCLERS LIMITED | 58.32 | 58.39 | 57.32 | 57.95 | 13562
GLOBAL EDUCATION LIMITED | 90.0 | 93.33 | 89.51 | 92.88 | 87725
PRAXIS HOME RETAIL LTD | 9.71 | 9.8 | 9.41 | 9.54 | 34734
3P LAND HOLDINGS LIMITED | 38.0 | 38.89 | 36.6 | 38.13 | 1633
CONTROL PRINT LIMITED | 705.0 | 711.9 | 700.1 | 708.7 | 9001
HINDPRAKASH INDUSTRY LTD | 131.82 | 139.0 | 131.82 | 136.84 | 5764
HRH NEXT SERVICES LIMITED | 25.9 | 25.9 | 25.85 | 25.9 | 4500
SAGAR CEMENTS LIMITED | 210.45 | 210.45 | 206.56 | 208.24 | 38062
NEPTUNE PETROCHEMICALS L | 218.7 | 218.7 | 215.0 | 216.6 | 4000
INDIA PESTICIDES LIMITED | 168.0 | 173.95 | 167.34 | 173.21 | 107371
SAJ HOTELS LIMITED | 59.0 | 61.4 | 59.0 | 61.4 | 18000
RATTANINDIA POWER LIMITED | 9.32 | 9.78 | 9.32 | 9.7 | 15963151
CAMLIN FINE SCIENCES LTD | 155.12 | 156.59 | 153.35 | 155.52 | 221597
NALWA SONS INVESTMENT LTD | 6513.0 | 6660.5 | 6487.5 | 6610.5 | 2250
VADILAL INDUSTRIES LTD | 5049.0 | 5050.0 | 4950.0 | 4981.0 | 2908
